Gm#,Date,Tm,homeAway,Opp,W/L,R,RA,Inn,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
50,"Tuesday, May 29",OAK,home,TBD,L,1,5,9,2,14,Sturtze,Lidle,Phelps,03:04,N,"11,334",---,
51,"Wednesday, May 30",OAK,home,TBD,W,15,2,9,2,14,Mulder,Lopez,,03:11,D,"17,901",+,
52,"Thursday, May 31",OAK,home,TBD,W,10,1,9,2,14,Hudson,Wilson,,02:23,D,"16,308",++,
53,"Friday, Jun 1",OAK,home,BAL,L,4,8,9,2,15,Ponson,Mecir,,03:02,N,"30,168",-,
54,"Saturday, Jun 2",OAK,home,BAL,L,0,7,9,2,16,Towers,Zito,,03:00,D,"23,726",--,
55,"Sunday, Jun 3",OAK,home,BAL,W,5,1,9,2,16,Lidle,Roberts,,02:48,D,"18,977",+,
56,"Tuesday, Jun 5",OAK,away,ANA,L,3,7,9,3,17.5,Washburn,Mulder,,02:39,N,"16,166",-,
57,"Wednesday, Jun 6",OAK,away,ANA,W,4,1,9,2,17.5,Hudson,Rapp,Isringhausen,02:49,N,"15,356",+,
58,"Thursday, Jun 7",OAK,away,ANA,L,4,6,9,3,18,Schoeneweis,Zito,Percival,02:57,N,"15,859",-,
59,"Friday, Jun 8",OAK,home,SFG,W,4,2,9,3,18,Heredia,Gardner,Isringhausen,02:41,N,"41,904",+,
60,"Saturday, Jun 9",OAK,home,SFG,L,3,4,11,3,18,Rodriguez,Mathews,Nen,03:42,N,"50,273",-,
61,"Sunday, Jun 10",OAK,home,SFG,W,6,2,9,3,18,Mulder,Hernandez,Bradford,02:40,D,"47,859",+,
62,"Tuesday, Jun 12",OAK,away,SDP,W,5,2,9,2,18,Hudson,Williams,Isringhausen,02:54,N,"20,793",++,
63,"Wednesday, Jun 13",OAK,away,SDP,W,6,2,9,2,17.5,Guthrie,Nunez,Tam,02:55,N,"14,707",+++,
64,"Thursday, Jun 14",OAK,away,SDP,L,4,6,9,2,18,Davey,Mecir,Hoffman,02:41,D,"17,053",-,
65,"Friday, Jun 15",OAK,away,SFG,L,1,3,9,2,19,Estes,Mulder,Nen,02:28,N,"40,849",--,
66,"Saturday, Jun 16",OAK,away,SFG,L,1,2,9,2,20,Hernandez,Tam,Nen,02:52,D,"41,094",---,
67,"Sunday, Jun 17",OAK,away,SFG,L,0,3,9,3,20,Rueter,Hudson,Nen,03:12,D,"41,506",----,
68,"Monday, Jun 18",OAK,home,SEA,W,4,3,9,3,19,Zito,Charlton,Isringhausen,02:40,N,"16,368",+,
69,"Tuesday, Jun 19",OAK,home,SEA,L,7,8,9,3,20,Rhodes,Isringhausen,Sasaki,03:19,N,"17,542",-,
70,"Wednesday, Jun 20",OAK,home,SEA,W-wo,6,4,9,3,19,Guthrie,Sasaki,,02:57,N,"40,639",+,
71,"Thursday, Jun 21",OAK,home,SEA,L,10,12,9,3,20,Paniagua,Tam,Rhodes,03:37,D,"23,642",-,
72,"Friday, Jun 22",OAK,home,TEX,L,1,2,9,3,20,Davis,Hudson,Zimmerman,02:44,N,"18,615",--,
73,"Saturday, Jun 23",OAK,home,TEX,W-wo,5,4,10,3,19,Isringhausen,Cordero,,03:08,D,"26,324",+,
74,"Sunday, Jun 24",OAK,home,TEX,L,5,9,9,3,20,Bell,Heredia,Venafro,03:18,D,"28,266",-,
75,"Tuesday, Jun 26",OAK,away,SEA,L,3,7,9,3,21,Garcia,Mulder,,03:12,N,"45,337",--,
76,"Wednesday, Jun 27",OAK,away,SEA,W,6,3,9,3,20,Hudson,Halama,Isringhausen,03:13,N,"45,104",+,
77,"Thursday, Jun 28",OAK,away,SEA,W,6,3,9,3,19,Guthrie,Fuentes,Isringhausen,03:01,D,"45,399",++,
78,"Friday, Jun 29",OAK,away,TEX,L,6,9,9,3,20,Mahomes,Magnante,Zimmerman,03:05,N,"40,025",-,
79,"Saturday, Jun 30",OAK,away,TEX,W,15,4,9,2,20,Hiljus,Rogers,,03:13,N,"42,553",+,
80,"Sunday, Jul 1",OAK,away,TEX,L,1,3,9,2,21,Venafro,Mulder,Zimmerman,02:44,N,"26,547",-,
81,"Monday, Jul 2",OAK,home,ANA,W-wo,1,0,12,2,21,Tam,Hasegawa,,03:42,N,"11,222",+,
82,"Tuesday, Jul 3",OAK,home,ANA,W,5,2,9,2,21,Zito,Rapp,Isringhausen,02:36,N,"51,838",++,
83,"Wednesday, Jul 4",OAK,home,ANA,W,2,0,9,2,20,Lidle,Schoeneweis,Mecir,02:17,D,"29,045",+++,
84,"Thursday, Jul 5",OAK,home,ANA,L,2,5,9,2,20,Valdez,Heredia,Percival,02:42,D,"12,719",-,
85,"Friday, Jul 6",OAK,away,ARI,W,3,0,9,2,20,Mulder,Anderson,,02:08,N,"34,008",+,
86,"Saturday, Jul 7",OAK,away,ARI,W,5,1,9,2,19,Hudson,Batista,,02:37,N,"36,978",++,
87,"Sunday, Jul 8",OAK,away,ARI,W,2,1,9,2,19,Zito,Schilling,Isringhausen,02:50,D,"31,927",+++,
88,"Thursday, Jul 12",OAK,home,LAD,W,6,0,9,2,19,Mulder,Adams,,02:27,N,"18,293",++++,
89,"Friday, Jul 13",OAK,home,LAD,W,11,7,9,2,18,Hudson,Park,Isringhausen,03:25,N,"28,627",+++++,
90,"Saturday, Jul 14",OAK,home,LAD,L,3,5,15,2,19,Reyes,Guthrie,,04:58,D,"35,163",-,
91,"Sunday, Jul 15",OAK,home,COL,W,6,3,9,2,19,Lidle,Bohanon,Vizcaino,03:02,D,"24,327",+,
92,"Monday, Jul 16",OAK,home,COL,W,5,1,9,2,18,Heredia,Neagle,,02:47,N,"13,808",++,
93,"Tuesday, Jul 17",OAK,home,COL,W,3,2,9,2,18,Mulder,Astacio,Isringhausen,02:44,D,"22,099",+++,
94,"Wednesday, Jul 18",OAK,away,MIN,W,7,2,9,2,18,Hudson,Radke,,03:18,N,"20,024",++++,
95,"Thursday, Jul 19",OAK,away,MIN,L,10,12,9,2,18,Milton,Zito,Hawkins,03:46,N,"19,605",-,
96,"Friday, Jul 20",OAK,away,KCR,W,14,3,9,2,18,Lidle,Byrd,,03:27,N,"30,523",+,
97,"Saturday, Jul 21",OAK,away,KCR,W,10,1,9,2,18,Heredia,Reichert,,02:46,N,"25,830",++,
98,"Sunday, Jul 22",OAK,away,KCR,L-wo,4,5,9,2,19,Hernandez,Mecir,,03:00,N,"17,252",-,
99,"Monday, Jul 23",OAK,away,KCR,W,7,2,9,2,19,Hudson,Durbin,,03:04,N,"20,807",+,
100,"Tuesday, Jul 24",OAK,home,MIN,W-wo,7,6,9,2,18,Isringhausen,Miller,,03:38,N,"13,407",++,
101,"Wednesday, Jul 25",OAK,home,MIN,L,1,3,9,2,18,Mays,Lidle,Hawkins,02:26,N,"31,426",-,
102,"Thursday, Jul 26",OAK,home,MIN,L,4,7,9,2,19,Johnson,Heredia,,03:15,D,"20,891",--,
103,"Friday, Jul 27",OAK,home,KCR,W,5,0,9,2,19,Mulder,Suppan,,02:21,N,"14,413",+,
104,"Saturday, Jul 28",OAK,home,KCR,L,3,9,9,2,20,Durbin,Hudson,,03:09,D,"40,242",-,
105,"Sunday, Jul 29",OAK,home,KCR,W,6,4,9,2,20,Isringhausen,Grimsley,Mecir,02:58,D,"19,384",+,
106,"Tuesday, Jul 31",OAK,away,CLE,W,11,2,9,2,19,Lidle,Westbrook,,02:43,N,"38,830",++,
107,"Wednesday, Aug 1",OAK,away,CLE,L,5,6,9,2,20,Baez,Mecir,Wickman,03:07,N,"40,592",-,
108,"Thursday, Aug 2",OAK,away,CLE,W,17,4,9,2,20,Mulder,Sabathia,,03:06,N,"38,226",+,
109,"Friday, Aug 3",OAK,away,DET,W,2,1,9,2,20,Hudson,Weaver,,02:25,N,"30,071",++,
110,"Saturday, Aug 4",OAK,away,DET,W,10,1,9,2,20,Zito,Sparks,,02:29,N,"28,331",+++,
111,"Sunday, Aug 5",OAK,away,DET,W,4,1,9,2,19,Lidle,Lima,Isringhausen,02:18,D,"26,626",++++,
112,"Monday, Aug 6",OAK,away,DET,W,6,3,9,2,19,Vizcaino,Patterson,Isringhausen,03:06,D,"21,830",+++++,
113,"Tuesday, Aug 7",OAK,home,BOS,W,5,2,9,2,19,Mulder,Saberhagen,Isringhausen,02:50,N,"26,650",++++++,
114,"Wednesday, Aug 8",OAK,home,BOS,W,6,1,9,2,19,Hudson,Castillo,,02:58,N,"50,863",+++++++,
